Player	#	Nation	Pos	Age	Min	Gls	Ast	PK	PKatt	Sh	SoT	CrdY	CrdR	Touches	Tkl	Int	Blocks	xG	npxG	xAG	SCA	GCA	Cmp	Att	Cmp%	PrgP	Carries	PrgC	Att	Succ
Rasmus Højlund	9	dk DEN	FW	22-037	90	0	1	0	0	3	0	0	0	25	0	0	1	1.0	1.0	0.6	5	2	16	19	84.2	1	12	2	0	0
Joshua Zirkzee	11	nl NED	AM	23-295	88	0	0	0	0	4	2	0	0	36	0	0	1	0.3	0.3	0.8	6	1	20	24	83.3	3	22	1	5	4
   Christian Eriksen	14	dk DEN	AM	33-027	2	0	0	0	0	1	1	0	0	5	0	0	1	0.1	0.1	0.0	0	0	2	3	66.7	0	2	1	0	0
Alejandro Garnacho	17	ar ARG	AM	20-255	90	0	1	0	0	3	1	0	0	46	1	2	1	0.2	0.2	0.4	6	1	26	33	78.8	2	34	8	3	0
Bruno Fernandes	8	pt POR	CM	30-186	90	3	0	2	2	4	2	0	0	81	3	1	2	1.9	0.3	0.2	9	0	49	70	70.0	7	40	3	3	1
Casemiro	18	br BRA	CM	33-018	78	0	0	0	0	1	0	0	0	71	3	1	2	0.0	0.0	0.0	3	1	50	61	82.0	11	33	2	0	0
   Toby Collyer	43	eng ENG	CM	21-069	12	0	0	0	0	0	0	1	0	10	1	0	1	0.0	0.0	0.0	0	0	6	6	100.0	1	1	0	0	0
Patrick Dorgu	13	dk DEN	WB	20-138	90	0	0	0	0	5	1	0	0	60	3	1	2	0.3	0.3	0.0	6	2	29	41	70.7	1	29	4	2	0
Diogo Dalot	20	pt POR	WB	25-360	90	1	0	0	0	1	1	0	0	64	3	1	0	0.4	0.4	0.1	5	1	48	59	81.4	9	28	2	0	0
Ayden Heaven	26	eng ENG	CB	18-172	90	0	0	0	0	0	0	0	0	62	3	2	0	0.0	0.0	0.0	1	0	42	49	85.7	1	39	0	0	0
Matthijs de Ligt	4	nl NED	CB	25-213	90	0	0	0	0	1	0	1	0	56	0	0	1	0.0	0.0	0.0	0	0	40	47	85.1	2	27	0	0	0
Noussair Mazraoui	3	ma MAR	CB	27-119	90	0	0	0	0	0	0	0	0	69	1	1	1	0.0	0.0	0.1	2	0	58	60	96.7	3	45	4	2	1
André Onana	24	cm CMR	GK	28-345	90	0	0	0	0	0	0	0	0	40	0	0	0	0.0	0.0	0.0	0	0	28	39	71.8	0	29	0	0	0